FRAME	XCENTER	YCENTER	BRIGHTNESS	BG	I0	S_X	S_Y	THETA	ECC
37	64.540	231.432	7262.307	525.567	930.110	 0.968	 1.283	 1.323	 0.656
37	121.049	332.137	76622.556	506.340	699.554	 3.852	 4.525	 0.640	 0.525
37	120.827	331.658	78651.795	520.200	677.534	 3.957	 4.670	 0.338	 0.531
37	120.715	331.922	99780.044	454.125	727.239	 4.373	 4.994	 1.082	 0.483
37	162.756	356.704	32060.756	483.205	521.977	 2.281	 4.285	 0.750	 0.847
38	64.894	231.201	12939.306	603.403	1076.471	 1.305	 1.466	 1.753	 0.455
38	109.742	129.620	10748.026	608.720	938.078	 1.126	 1.620	 0.621	 0.719
38	120.386	332.555	73082.222	486.076	739.282	 3.739	 4.208	 0.781	 0.459
39	64.614	231.259	15517.096	567.234	1259.716	 1.318	 1.488	 2.738	 0.465
39	108.922	129.659	6302.081	577.136	942.882	 0.738	 1.441	 0.680	 0.859
39	120.978	332.910	66901.132	565.729	1192.301	 2.872	 3.109	 0.479	 0.383
39	158.565	353.405	14503.662	577.782	765.697	 1.720	 1.752	 2.563	 0.191
40	109.926	128.716	8407.773	595.609	819.434	 1.114	 1.466	 2.291	 0.650
40	122.685	332.663	63771.748	583.924	1739.492	 2.243	 2.601	 1.734	 0.507
41	121.601	332.495	35374.284	603.442	931.508	 2.428	 2.490	 2.358	 0.222
42	121.317	333.046	31198.503	603.578	880.166	 2.206	 2.557	 1.733	 0.505
43	121.331	334.514	34651.350	576.294	1070.152	 1.966	 2.622	 1.344	 0.662
44	33.616	211.796	28165.847	642.893	1352.677	 1.711	 1.937	 0.600	 0.470
44	62.740	125.416	9920.539	584.082	557.981	 1.293	 2.189	 0.456	 0.807
44	120.380	334.947	36972.965	553.094	805.990	 2.356	 3.099	 0.701	 0.650
44	276.109	222.196	7784.394	589.539	595.333	 1.267	 1.643	 0.271	 0.637
44	417.857	222.589	5865.888	606.478	759.121	 0.805	 1.527	 1.555	 0.850
45	33.593	212.333	86729.814	723.746	3846.633	 1.518	 2.363	 3.061	 0.766
45	48.943	79.976	17139.558	605.948	506.323	 1.976	 2.726	 2.622	 0.689
45	119.208	335.685	18979.430	595.869	807.202	 1.182	 3.165	 0.967	 0.928
46	36.389	206.822	72976.434	681.072	3591.047	 1.766	 1.831	 2.973	 0.264
46	120.039	335.968	31880.515	535.842	514.492	 3.112	 3.169	 1.353	 0.189
47	121.239	336.164	26011.195	625.286	1632.538	 1.576	 1.609	 2.168	 0.200
48	120.910	336.901	21883.063	591.712	873.005	 1.596	 2.499	 2.860	 0.770
49	120.152	337.447	14716.031	594.727	558.518	 1.663	 2.521	 1.180	 0.751
49	163.699	360.021	9154.129	543.870	569.933	 1.238	 2.065	 1.875	 0.800
50	41.851	206.417	17845.771	588.846	739.241	 1.613	 2.382	 3.103	 0.736
50	110.337	126.628	8388.063	568.767	584.171	 1.033	 2.213	 2.825	 0.885
50	120.146	337.745	21828.802	581.388	1328.564	 1.566	 1.670	 1.403	 0.348
51	42.221	205.405	14410.912	622.642	551.024	 1.655	 2.515	 3.063	 0.753
51	109.586	127.851	9823.153	604.035	776.041	 0.884	 2.278	 0.792	 0.922
51	119.986	336.554	30948.521	589.455	1333.752	 1.898	 1.946	 0.063	 0.221
51	275.848	215.843	8952.410	623.872	580.953	 0.932	 2.633	 1.967	 0.935
52	111.813	128.064	13472.850	590.134	519.949	 1.276	 3.231	 1.177	 0.919
52	119.472	336.972	26449.855	593.175	1714.601	 1.509	 1.627	 1.574	 0.374
52	274.823	215.992	8719.538	639.375	702.039	 1.332	 1.484	 2.545	 0.440
53	119.056	336.684	22523.848	581.937	1900.149	 1.290	 1.463	 0.867	 0.472
54	56.574	220.428	86570.917	573.336	2028.132	 2.375	 2.861	 1.182	 0.558
54	110.341	127.326	8028.170	597.330	827.956	 0.847	 1.822	 0.439	 0.885
54	119.590	335.965	24266.588	584.611	1513.752	 1.446	 1.764	 1.632	 0.573
55	56.313	220.380	93099.390	601.355	1714.657	 2.862	 3.020	 1.203	 0.320
55	119.573	336.657	15672.702	595.274	1248.485	 1.218	 1.640	 2.837	 0.670
56	55.901	220.518	86394.100	651.412	1785.324	 2.624	 2.935	 1.197	 0.448
56	119.113	336.324	20835.249	623.554	1603.676	 1.331	 1.553	 2.133	 0.515
56	135.258	112.031	4989.622	607.801	1271.204	 0.634	 0.985	 1.583	 0.766
56	139.647	402.650	8904.280	520.144	546.629	 1.567	 1.654	 0.216	 0.319
57	56.293	221.054	42754.936	571.396	965.017	 2.599	 2.713	 0.156	 0.287
57	118.429	335.954	21107.693	580.748	932.385	 1.753	 2.055	 1.761	 0.522
58	118.842	336.216	28142.073	560.436	1321.283	 1.557	 2.177	 1.131	 0.699
58	346.242	105.184	5281.177	691.379	1022.837	 0.499	 1.647	 2.134	 0.953
59	109.994	127.182	8691.517	604.703	602.179	 1.252	 1.835	 1.140	 0.731
59	119.844	335.996	19384.670	613.984	1174.613	 1.414	 1.857	 1.217	 0.648
60	119.683	335.895	21819.523	609.318	1481.074	 1.419	 1.653	 0.747	 0.513
61	110.022	126.125	8607.299	605.869	629.618	 1.092	 1.992	 1.904	 0.836
61	118.913	336.592	18472.833	582.701	1117.334	 1.453	 1.811	 1.196	 0.597
62	113.170	126.227	7773.369	622.959	679.830	 1.206	 1.509	 2.604	 0.601
62	119.227	336.333	17239.156	569.415	875.561	 1.719	 1.823	 2.856	 0.334
63	112.266	126.645	8447.898	596.128	662.997	 1.067	 1.901	 2.885	 0.828
63	119.483	336.651	24975.857	560.141	1080.497	 1.724	 2.134	 2.586	 0.590
